País,População
Asia,Southern Asia
Asia,Eastern Asia
Americas,Northern America
Asia,Southeastern Asia
Asia,Southern Asia
Africa,Western Africa
Americas,Southern America
Asia,Southern Asia
Europe,Eastern Europe
Americas,Northern America
Africa,Eastern Africa
Asia,Eastern Asia
Asia,Southeastern Asia
Africa,Northern Africa
Africa,Central Africa
Asia,Southeastern Asia
Asia,Southern Asia
Asia,Western Asia
Europe,Western Europe
Asia,Southeastern Asia
Europe,Northern Europe
Africa,Eastern Africa
Europe,Western Europe
Africa,Southern Africa
Europe,Southern Europe
Africa,Eastern Africa
Asia,Southeastern Asia
Americas,Southern America
Asia,Eastern Asia
Africa,Eastern Africa
Africa,Northern Africa
Europe,Southern Europe
Americas,Southern America
Africa,Northern Africa
Asia,Western Asia
Asia,Southern Asia
Europe,Eastern Europe
Americas,Northern America
Africa,Northern Africa
Asia,Western Asia
Europe,Eastern Europe
Africa,Central Africa
Asia,Central Asia
Asia,Western Asia
Americas,Southern America
Asia,Southeastern Asia
Africa,Western Africa
Africa,Eastern Africa
Asia,Southern Asia
Africa,Eastern Africa
Africa,Western Africa
Americas,Southern America
Africa,Central Africa
Africa,Western Africa
Oceania,Australasia
Asia,Eastern Asia
Asia,Eastern Asia
Africa,Western Africa
Africa,Western Africa
Asia,Western Asia
Asia,Southern Asia
Africa,Eastern Africa
Africa,Eastern Africa
Europe,Eastern Europe
Americas,Southern America
Asia,Central Asia
Africa,Central Africa
Americas,Southern America
Africa,Eastern Africa
Americas,Central America
Africa,Western Africa
Europe,Western Europe
Asia,Southeastern Asia
Africa,Eastern Africa
Africa,Western Africa
Africa,Eastern Africa
Africa,Western Africa
Africa,Eastern Africa
Africa,Northern Africa
Americas,Southern America
Americas,Caribbean
Europe,Western Europe
Asia,Western Asia
Americas,Caribbean
Americas,Caribbean
Africa,Eastern Africa
Europe,Northern Europe
Americas,Central America
Europe,Eastern Europe
Asia,Western Asia
Europe,Southern Europe
Oceania,Melanesia
Europe,Southern Europe
Europe,Eastern Europe
Asia,Central Asia
Asia,Western Asia
Europe,Eastern Europe
Asia,Western Asia
Africa,Western Africa
Europe,Western Europe
Europe,Western Europe
Africa,Western Africa
Asia,Southeastern Asia
Asia,Eastern Asia
Europe,Southern Europe
Americas,Central America
Africa,Northern Africa
Americas,Southern America
Asia,Central Asia
Europe,Eastern Europe
Asia,Central Asia
Americas,Central America
Africa,Central Africa
Asia,Southeastern Asia
Europe,Northern Europe
Europe,Eastern Europe
Africa,Central Africa
Europe,Northern Europe
Europe,Northern Europe
Africa,Western Africa
Asia,Western Asia
Asia,Western Asia
Oceania,Australasia
Americas,Central America
Europe,Northern Europe
Africa,Western Africa
Asia,Western Asia
Americas,Central America
Asia,Western Asia
Europe,Southern Europe
Africa,Eastern Africa
Asia,Western Asia
Asia,Eastern Asia
Europe,Eastern Europe
Americas,Southern America
Americas,Caribbean
Europe,Southern Europe
Europe,Southern Europe
Americas,Caribbean
Asia,Western Asia
Africa,Western Africa
Europe,Northern Europe
Asia,Western Asia
Africa,Southern Africa
Africa,Southern Africa
Africa,Central Africa
Africa,Southern Africa
Africa,Western Africa
Europe,Southern Europe
Europe,Southern Europe
Europe,Northern Europe
Africa,Central Africa
Europe,Southern Europe
Americas,Caribbean
Asia,Western Asia
Asia,Southeastern Asia
Europe,Northern Europe
Africa,Eastern Africa
Asia,Western Asia
Africa,Southern Africa
Africa,Eastern Africa
Africa,Eastern Africa
Oceania,Melanesia
Africa,Eastern Africa
Americas,Southern America
Asia,Southern Asia
Oceania,Melanesia
Asia,Eastern Asia
Europe,Western Europe
Europe,Southern Europe
Americas,Southern America
Africa,Western Africa
Africa,Northern Africa
Europe,Southern Europe
Asia,Southern Asia
Asia,Southeastern Asia
Americas,Caribbean
Americas,Central America
Americas,Caribbean
Europe,Northern Europe
Americas,Caribbean
Africa,Eastern Africa
Oceania,Melanesia
Americas,Southern America
Oceania,Polynesia
Oceania,Melanesia
Americas,Caribbean
Africa,Central Africa
Oceania,Polynesia
Americas,Caribbean
Americas,Caribbean
Oceania,Micronesia
Oceania,Micronesia
Americas,Caribbean
Oceania,Micronesia
Europe,Northern Europe
Oceania,Polynesia
Africa,Eastern Africa
Americas,Caribbean
Americas,Caribbean
Americas,Caribbean
Americas,Caribbean
Europe,Northern Europe
Europe,Southern Europe
Americas,Caribbean
Americas,Caribbean
Americas,Northern America
Europe,Northern Europe
Americas,Northern America
Europe,Northern Europe
Oceania,Micronesia
Americas,Caribbean
Americas,Caribbean
Americas,Caribbean
Oceania,Polynesia
Oceania,Micronesia
Europe,Western Europe
Europe,Western Europe
Europe,Southern Europe
Europe,Southern Europe
Americas,Caribbean
Americas,Caribbean
Americas,Caribbean
Oceania,Micronesia
Oceania,Polynesia
Americas,Caribbean
Oceania,Micronesia
Oceania,Polynesia
Oceania,Polynesia
Americas,Caribbean
Americas,Northern America
Africa,Western Africa
Americas,Caribbean
Americas,Southern America
Oceania,Polynesia
Oceania,Polynesia
